  Part Instance     Node ID  Attached elements            NT11
---------------------------------------------------------------
     MACRO-1           6               5         30.1277
     MACRO-1           5               4         24.2583
     MACRO-1           5               5         24.2583
     MACRO-1           4               3         25.0852
     MACRO-1           4               4         25.0852
     MACRO-1           3               2         24.9965
     MACRO-1           3               3         24.9965
     MACRO-1           2               1         24.9982
     MACRO-1           2               2         24.9982
     MACRO-1           1               1             25.
     MACRO-1          12               5         30.1245
     MACRO-1          12              10         30.1245
     MACRO-1          11               4         24.2594
     MACRO-1          11               5         24.2594
     MACRO-1          11               9         24.2594
     MACRO-1          11              10         24.2594
     MACRO-1          10               3         25.0849
     MACRO-1          10               4         25.0849
     MACRO-1          10               8         25.0849
     MACRO-1          10               9         25.0849
     MACRO-1           9               2         24.9965
     MACRO-1           9               3         24.9965
     MACRO-1           9               7         24.9965
     MACRO-1           9               8         24.9965
     MACRO-1           8               1         24.9982
     MACRO-1           8               2         24.9982
     MACRO-1           8               6         24.9982
     MACRO-1           8               7         24.9982
     MACRO-1           7               1             25.
     MACRO-1           7               6             25.
     MACRO-1          18              10         30.1248
     MACRO-1          18              15         30.1248
     MACRO-1          17               9         24.2592
     MACRO-1          17              10         24.2592
     MACRO-1          17              14         24.2592
     MACRO-1          17              15         24.2592
     MACRO-1          16               8         25.0849
     MACRO-1          16               9         25.0849
     MACRO-1          16              13         25.0849
     MACRO-1          16              14         25.0849
     MACRO-1          15               7         24.9965
     MACRO-1          15               8         24.9965
     MACRO-1          15              12         24.9965
     MACRO-1          15              13         24.9965
     MACRO-1          14               6         24.9982
     MACRO-1          14               7         24.9982
     MACRO-1          14              11         24.9982
     MACRO-1          14              12         24.9982
     MACRO-1          13               6             25.
     MACRO-1          13              11             25.
     MACRO-1          24              15         30.1248
     MACRO-1          24              20         30.1248
     MACRO-1          23              14         24.2593
     MACRO-1          23              15         24.2593
     MACRO-1          23              19         24.2593
     MACRO-1          23              20         24.2593
     MACRO-1          22              13         25.0849
     MACRO-1          22              14         25.0849
     MACRO-1          22              18         25.0849
     MACRO-1          22              19         25.0849
     MACRO-1          21              12         24.9965
     MACRO-1          21              13         24.9965
     MACRO-1          21              17         24.9965
     MACRO-1          21              18         24.9965
     MACRO-1          20              11         24.9982
     MACRO-1          20              12         24.9982
     MACRO-1          20              16         24.9982
     MACRO-1          20              17         24.9982
     MACRO-1          19              11             25.
     MACRO-1          19              16             25.
     MACRO-1          30              20         30.1252
     MACRO-1          30              25         30.1252
     MACRO-1          29              19         24.2591
     MACRO-1          29              20         24.2591
     MACRO-1          29              24         24.2591
     MACRO-1          29              25         24.2591
     MACRO-1          28              18          25.085
     MACRO-1          28              19          25.085
     MACRO-1          28              23          25.085
     MACRO-1          28              24          25.085
     MACRO-1          27              17         24.9965
     MACRO-1          27              18         24.9965
     MACRO-1          27              22         24.9965
     MACRO-1          27              23         24.9965
     MACRO-1          26              16         24.9982
     MACRO-1          26              17         24.9982
     MACRO-1          26              21         24.9982
     MACRO-1          26              22         24.9982
     MACRO-1          25              16             25.
     MACRO-1          25              21             25.
     MACRO-1          36              25         30.1219
     MACRO-1          35              24         24.2602
     MACRO-1          35              25         24.2602
     MACRO-1          34              23         25.0847
     MACRO-1          34              24         25.0847
     MACRO-1          33              22         24.9966
     MACRO-1          33              23         24.9966
     MACRO-1          32              21         24.9982
     MACRO-1          32              22         24.9982
     MACRO-1          31              21             25.
